LINK_ID,MULTI_ID,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,REMARK
1530000400,1,103,000,26,성당로,
1530000502,1,103,000,26,성당로,
1530000503,1,103,000,26,성당로,
1530000602,1,103,000,26,성당로,
1530000603,1,103,000,26,성당로,
1540000101,1,103,000,5,팔달로,
1540000101,2,103,000,25,팔달로,
1540000102,1,103,000,5,팔달로,
1540000102,2,103,000,25,팔달로,
1540000201,1,103,000,5,팔달로,
1540000201,2,103,000,25,팔달로,
1540000202,1,103,000,5,팔달로,
1540000202,2,103,000,25,팔달로,
1540000300,1,103,000,25,노원로,
1540000400,1,103,000,25,노원로,
1540000700,1,103,000,5,팔달로,
1540000700,2,103,000,25,팔달로,
1540000800,1,103,000,5,팔달로,
1540000800,2,103,000,25,팔달로,
1540001300,1,103,000,25,노원로,
1540001400,1,103,000,25,노원로,
1540001700,1,103,000,25,동북로,
1540001800,1,103,000,25,동북로,
1540002100,1,103,000,5,팔달로,
1540002100,2,103,000,25,팔달로,
1540002200,1,103,000,5,팔달로,
1540002200,2,103,000,25,팔달로,
1540002500,1,103,000,5,팔달로,
1540002500,2,103,000,25,팔달로,
1540002600,1,103,000,5,팔달로,
1540002600,2,103,000,25,팔달로,
1540002900,1,103,000,25,노원로,
1540003000,1,103,000,25,노원로,
1540003100,1,103,000,25,동북로,
1540003200,1,103,000,25,동북로,
1540003700,1,103,003,5,칠곡중앙대로,
1540003700,2,103,003,25,칠곡중앙대로,
1540003800,1,103,003,5,칠곡중앙대로,
1540003800,2,103,003,25,칠곡중앙대로,
1540003900,1,103,000,25,노원로,
1540004000,1,103,000,25,노원로,
1540004100,1,103,000,25,동북로,
1540004200,1,103,000,25,동북로,
1540004500,1,103,000,5,칠곡중앙대로,
1540004500,2,103,000,25,칠곡중앙대로,
1540004600,1,103,000,5,칠곡중앙대로,
1540004600,2,103,000,25,칠곡중앙대로,
1540004700,1,103,000,25,동북로,
1540004800,1,103,000,25,동북로,
1540004900,1,103,001,25,동북로,
1540005000,1,103,001,25,동북로,
1540005100,1,103,000,25,동북로,
1540005200,1,103,000,25,동북로,
1540005300,1,103,000,25,노원로,
1540005400,1,103,000,25,노원로,
1540005501,1,103,000,25,동북로,
1540005502,1,103,000,25,동북로,
1540005601,1,103,000,25,동북로,
1540005602,1,103,000,25,동북로,
1540005701,1,103,000,25,노원로,
1540005801,1,103,000,25,노원로,
1540005901,1,103,000,5,칠곡중앙대로,
1540005901,2,103,000,25,칠곡중앙대로,
1540005902,1,103,000,5,칠곡중앙대로,
1540005902,2,103,000,25,칠곡중앙대로,
1540006001,1,103,000,5,칠곡중앙대로,
1540006001,2,103,000,25,칠곡중앙대로,
1540006002,1,103,000,5,칠곡중앙대로,
1540006002,2,103,000,25,칠곡중앙대로,
1540006300,1,103,000,25,노원로,
1540006400,1,103,000,25,노원로,
1540006500,1,103,000,25,노원로,
1540006600,1,103,000,25,노원로,
1540006900,1,103,003,25,노원로,
1540007000,1,103,003,25,노원로,
1540007301,1,103,000,25,동북로,
1540007302,1,103,000,25,동북로,
1540007401,1,103,000,25,동북로,
1540007402,1,103,000,25,동북로,
1540007500,1,103,000,25,동북로,
1540007600,1,103,000,25,동북로,
1540007700,1,103,000,25,동북로,
1540007800,1,103,000,25,동북로,
1540008100,1,103,000,5,칠곡중앙대로,
1540008100,2,103,000,25,칠곡중앙대로,
1540008200,1,103,000,5,칠곡중앙대로,
1540008200,2,103,000,25,칠곡중앙대로,
1540008500,1,103,000,5,칠곡중앙대로,
1540008500,2,103,000,25,칠곡중앙대로,
1540008600,1,103,000,5,칠곡중앙대로,
1540008600,2,103,000,25,칠곡중앙대로,
1540009500,1,103,000,5,칠곡중앙대로,
1540009500,2,103,000,25,칠곡중앙대로,
1540009600,1,103,000,5,칠곡중앙대로,
1540009600,2,103,000,25,칠곡중앙대로,
1540011700,1,103,000,25,칠곡중앙대로,
1540011800,1,103,000,25,칠곡중앙대로,
1540012102,1,103,000,25,칠곡중앙대로,
1540012103,1,103,000,25,칠곡중앙대로,
1540012202,1,103,000,25,칠곡중앙대로,
1540012203,1,103,000,25,칠곡중앙대로,
1540012902,1,103,000,25,칠곡중앙대로,
1540012903,1,103,000,25,칠곡중앙대로,
1540013002,1,103,000,25,칠곡중앙대로,
1540013003,1,103,000,25,칠곡중앙대로,
1540013302,1,103,000,25,칠곡중앙대로,
1540013303,1,103,000,25,칠곡중앙대로,
1540013402,1,103,000,25,칠곡중앙대로,
1540013403,1,103,000,25,칠곡중앙대로,
1540013901,1,103,000,25,칠곡중앙대로,
1540013902,1,103,000,25,칠곡중앙대로,
1540014001,1,103,000,25,칠곡중앙대로,
1540014002,1,103,000,25,칠곡중앙대로,
1540015301,1,103,000,25,칠곡중앙대로,
1540015302,1,103,000,25,칠곡중앙대로,
1540015401,1,103,000,25,칠곡중앙대로,
1540015402,1,103,000,25,칠곡중앙대로,
1540016500,1,103,000,25,칠곡중앙대로,
1540016600,1,103,000,25,칠곡중앙대로,
1540058400,1,103,001,5,칠곡중앙대로,
1540058400,2,103,001,25,칠곡중앙대로,
1540058500,1,103,001,5,칠곡중앙대로,
1540058500,2,103,001,25,칠곡중앙대로,
1540076100,1,103,002,25,칠곡중앙대로,
1540076200,1,103,002,25,칠곡중앙대로,
1540095201,1,103,000,5,칠곡중앙대로,
1540095201,2,103,000,25,칠곡중앙대로,
1540095202,1,103,000,5,칠곡중앙대로,
1540095301,1,103,000,5,칠곡중앙대로,
1540095302,1,103,000,5,칠곡중앙대로,
1540095302,2,103,000,25,칠곡중앙대로,
1540095400,1,103,000,5,칠곡중앙대로,
1540095400,2,103,000,25,칠곡중앙대로,
1540101302,1,103,000,25,칠곡중앙대로,
1540101307,1,103,000,25,칠곡중앙대로,
1540101308,1,103,000,25,칠곡중앙대로,
1540101309,1,103,000,25,칠곡중앙대로,
1540101310,1,103,000,25,칠곡중앙대로,
1540101311,1,103,000,25,칠곡중앙대로,
1540101312,1,103,000,25,칠곡중앙대로,
1540101400,1,103,000,25,칠곡중앙대로,
1540101500,1,103,000,25,칠곡중앙대로,
1540101601,1,103,000,25,칠곡중앙대로,
1540101607,1,103,000,25,칠곡중앙대로,
1540101608,1,103,000,25,칠곡중앙대로,
1540101609,1,103,000,25,칠곡중앙대로,
1540101610,1,103,000,25,칠곡중앙대로,
1540101611,1,103,000,25,칠곡중앙대로,
1540101612,1,103,000,25,칠곡중앙대로,
1540109700,1,103,000,25,칠곡중앙대로,
1540109800,1,103,000,25,칠곡중앙대로,
1540109901,1,103,000,25,칠곡중앙대로,
1540109902,1,103,000,25,칠곡중앙대로,
1540110001,1,103,000,25,칠곡중앙대로,
1540110002,1,103,000,25,칠곡중앙대로,
1540110500,1,103,000,25,칠곡중앙대로,
1540110600,1,103,000,25,칠곡중앙대로,
1540110700,1,103,000,25,칠곡중앙대로,
1540110800,1,103,000,25,칠곡중앙대로,
1540112500,1,103,000,5,칠곡중앙대로,
1540112500,2,103,000,25,칠곡중앙대로,
1540112600,1,103,000,5,칠곡중앙대로,
1540112600,2,103,000,25,칠곡중앙대로,
1540112700,1,103,000,5,칠곡중앙대로,
1540112700,2,103,000,25,칠곡중앙대로,
1560000100,1,103,000,26,월배로,
1560000200,1,103,000,26,월배로,
1560000301,1,103,000,26,월배로,
1560000303,1,103,000,26,월배로,
1560000304,1,103,000,26,월배로,
1560000402,1,103,000,26,월배로,
1560000403,1,103,000,26,월배로,
1560000404,1,103,000,26,월배로,
1560000701,1,103,000,26,월배로,
1560000702,1,103,000,26,월배로,
1560000801,1,103,000,26,월배로,
1560000802,1,103,000,26,월배로,
1560001302,1,103,000,26,월배로,
1560001303,1,103,000,26,월배로,
1560001402,1,103,000,26,월배로,
1560001403,1,103,000,26,월배로,
1560001900,1,103,000,26,월배로,
1560002000,1,103,000,26,월배로,
1560002300,1,103,000,26,월배로,
1560002400,1,103,000,26,월배로,
1560080301,1,103,000,26,비슬로,
1560080302,1,103,000,26,비슬로,
1560097700,1,103,000,26,월배로,
1560097800,1,103,000,26,월배로,
1560097900,1,103,000,26,월배로,
1560098000,1,103,000,26,월배로,
1560098900,1,103,000,26,월배로,
1560099000,1,103,000,26,월배로,
1560099100,1,103,000,26,월배로,
1560099200,1,103,000,26,월배로,
1560103500,1,103,000,26,월배로,
1560103600,1,103,000,26,월배로,
1560103700,1,103,000,26,월배로,
1560103800,1,103,000,26,월배로,
1560482600,1,103,000,26,비슬로,
1560482700,1,103,000,26,비슬로,
1560482800,1,103,000,26,두류공원로,
1560482900,1,103,000,26,두류공원로,
1560483400,1,103,000,26,두류공원로,
1560483500,1,103,000,26,두류공원로,
1570006921,1,103,000,26,비슬로,
1570007011,1,103,000,26,비슬로,
1570011500,1,103,003,26,비슬로,
1570011600,1,103,003,26,비슬로,
1570011701,1,103,000,26,비슬로,
1570011801,1,103,000,26,비슬로,
1570012900,1,103,000,26,비슬로,
1570013000,1,103,000,26,비슬로,
1570013301,1,103,000,26,비슬로,
1570013302,1,103,000,26,비슬로,
1570013401,1,103,000,26,비슬로,
1570013402,1,103,000,26,비슬로,
1570014702,1,103,000,26,비슬로,
1570014704,1,103,000,26,비슬로,
1570014801,1,103,000,26,비슬로,
1570014803,1,103,000,26,비슬로,
1570014900,1,103,003,26,비슬로,
1570015000,1,103,003,26,비슬로,
1570020111,1,103,000,67,달구벌대로,
1570020143,1,103,000,67,달구벌대로,
1570020144,1,103,000,67,달구벌대로,
1570020145,1,103,000,67,달구벌대로,
1570020221,1,103,000,67,달구벌대로,
1570020232,1,103,000,67,달구벌대로,
1570020234,1,103,000,67,달구벌대로,
1570020235,1,103,000,67,달구벌대로,
1570020500,1,103,000,67,성주로,
1570020600,1,103,000,67,성주로,
1570031601,1,103,000,26,비슬로,
1570031603,1,103,000,26,비슬로,
1570031604,1,103,000,26,비슬로,
1570031702,1,103,000,26,비슬로,
1570031703,1,103,000,26,비슬로,
1570031704,1,103,000,26,비슬로,
1570037200,1,103,000,26,비슬로,
1570037300,1,103,000,26,비슬로,
1570037401,1,103,000,26,비슬로,
1570037402,1,103,000,26,비슬로,
1570037501,1,103,000,26,비슬로,
1570037502,1,103,000,26,비슬로,
1570037601,1,103,000,26,비슬로,
1570037602,1,103,000,26,비슬로,
1570037701,1,103,000,26,비슬로,
1570037702,1,103,000,26,비슬로,
1570295900,1,103,000,67,달구벌대로,
1570296200,1,103,000,67,달구벌대로,
1570568100,1,103,000,26,비슬로,
1570568200,1,103,000,26,비슬로,
1570568300,1,103,001,26,비슬로,
1570568400,1,103,001,26,비슬로,
1570568501,1,103,000,26,비슬로,
1570568502,1,103,000,26,비슬로,
1570568601,1,103,000,26,비슬로,
1570568602,1,103,000,26,비슬로,
1570673303,1,103,000,26,비슬로,
1570673305,1,103,000,26,비슬로,
1570673306,1,103,000,26,비슬로,
1570673308,1,103,000,26,비슬로,
1570673310,1,103,000,26,비슬로,
1570673311,1,103,000,26,비슬로,
1570673312,1,103,000,26,비슬로,
1570673404,1,103,000,26,비슬로,
1570673405,1,103,000,26,비슬로,
1570673406,1,103,000,26,비슬로,
1570673407,1,103,000,26,비슬로,
1570673409,1,103,000,26,비슬로,
